,type,id
0,adj.all,0
1,noun.Tops,4
2,adv.all,3
3,verb.body,30
4,noun.act,5
5,verb.change,31
6,verb.cognition,32
7,verb.communication,33
8,verb.competition,34
9,verb.consumption,35
10,verb.contact,36
11,noun.animal,6
12,verb.creation,37
13,verb.emotion,38
14,verb.motion,39
15,verb.perception,40
16,verb.possession,41
17,verb.social,42
18,adj.pert,1
19,verb.stative,43
20,noun.artifact,7
21,verb.weather,44
22,adj.ppl,2
23,noun.attribute,8
24,noun.body,9
25,noun.cognition,10
26,noun.communication,11
27,noun.event,12
28,noun.feeling,13
29,noun.food,14
30,noun.group,15
31,noun.location,16
32,noun.motive,17
33,noun.object,18
34,noun.person,19
35,noun.phenomenon,20
36,noun.plant,21
37,noun.possession,22
38,noun.process,23
39,noun.quantity,24
40,noun.relation,25
41,noun.shape,26
42,noun.state,27
43,noun.substance,28
44,noun.time,29
